영역,번호,구분,요청,왜 필요한가 → DB 의 자리,받는 형태,답하는 조직,요청 묶음,회신 담당,회신 예정일,상태,회신 내용·비고
A. 기존 부품 시험 데이터 관리 체계,A11,필수,"저장 위치와 형태 — 어느 시스템(트랜스·파일서버·엑셀), 폴더·파일명 규칙, 원본 보존 여부","이관 범위, 원본 파일스토어 구조",폴더 트리 캡처 + 파일명 예,신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A12,필수,"시험 성적서·승인원 양식과 필수 항목, 승인 흐름","카드·내보내기 렌더러(ADR 0012), 승인 흐름 재사용 여부",양식 PDF 3건 (내용 가려도 됨),신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A13,권장,"열람 권한 현황 — 누가 보는가, 전략과제·업체 자료를 어떻게 표시하나, 사업부 간 공유 사례",등급(classification)·출처(origin)의 초기값,인터뷰 30분,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A14,권장,"규모 — 연간 시험 건수, 파일 크기, 보관 기간","서버 용량, 목록 상한",어림수면 충분,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B1,필수,시장 불량 모드 분류 체계 — 이름·코드·계층,기준정보 failure_mode. 새로 만들면 시장 데이터와 조인이 안 된다,분류표,신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B2,필수,"시장 불량 정보의 출처 시스템과 필드 — VOC, 시그널 포지 등. 부품과 잇는 키",불량 ↔ 구성체 ↔ 시험법 연결. 3단계 온톨로지의 뿌리,시스템 이름 + 필드 목록,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B3,필수,재현 시험을 지금 어떻게 설계·기록하는가 — 실제 사례 3건 (성공 1·실패 1·판단 유보 1),"시험법(TestMethod) 구조가 실제를 덮는지, reproduced 의 세 값이 맞는지",사례 자료 원본,신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B4,필수,"「재현됐다」 의 판정 기준 — 누가, 무엇을 보고",시험법의 reproduction 규칙,사례 안에서 짚어 주면 됨,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B5,필수,시험법 개발 절차 — 초안 → 검증 → 규격화의 단계·승인 주체·개정 관리,"성숙도(maturity) 게이트, 버전 불변 규칙, 승인 흐름",절차 문서 또는 인터뷰,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B6,권장,외부 규격(ASTM·IEC·JIS)을 참고할 때 어떻게 인용·보관하나,"시험법 derived_from, 외부 규격을 같은 틀에 넣을지",예 2건,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
B. 재현 시험(시장 불량 재현) 체계,B7,권장,"시료 확보·배분 기록 — 입고·할당·잔량, 제한 시료를 나누는 결정 근거",시험 계획(추진 방향 ②)의 자리. 지금은 스키마 보류,현재 양식,신뢰성 그룹,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
C. 역공학·시뮬레이션 연계,C1,필수,"역공학의 입력 조합 — 어떤 시험들을 묶어 넣나, 필요한 채널·해상도, 부품 치수 요구","InverseRun.input_run_ids, 묶음(ADR 0020) 재사용 여부",사례 1건의 입력 목록,CAE 그룹,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
C. 역공학·시뮬레이션 연계,C2,필수,"사용 솔버, 재료 모델 종류, 파라미터 카드 형식, 지금 파라미터를 어디에 저장하나","피팅 family(ADR 0009)·솔버 덱(ADR 0023) 확장, assignment",카드 파일 샘플,CAE 그룹,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
C. 역공학·시뮬레이션 연계,C3,필수,"시뮬레이션 결과 파일 형식, 시험과 비교하는 지표, 지금 비교하는 방법","잔차 곡선 저장, fit 지표, 판별 기준의 스칼라",결과 파일 + 비교 엑셀 예,CAE 그룹,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
C. 역공학·시뮬레이션 연계,C4,권장,"해석 절차서 유무·형식, 검증 기록","SimulationRecipe 의 modeling·bc_mapping, 성숙도",절차서 1건,CAE 그룹,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
C. 역공학·시뮬레이션 연계,C5,필수,"층 물성의 가정 출처 — 재료 물성 DB, 문헌, 업체 자료. 업체 자료 사용 현황","InverseRun.fixed 의 source, 컴플라이언스 구분, 추정값 등급",사례 안에서 표시,CAE 그룹,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
D. 시험 조건 제반,D1,필수,"지그 정보 — 도면·식별·버전, 시험과 지그를 잇는 방식","기준정보 fixture, 시험법의 지그 참조, 버전",지그 목록 + 예,GTR 개발디지털트윈,2차 — 1단계 중 (2~3주),,,요청 전,
D. 시험 조건 제반,D2,필수,"구성체를 비교할 때 쓰는 규칙·지표, 기준 시료를 고르는 방식",ComparisonRule(보류 중) — 첫 파일럿 스키마의 근거,비교 사례 1건,GTR 개발디지털트윈,3차 — 2단계 전 (파일럿 시작 전),,,요청 전,
D. 시험 조건 제반,D3,권장,시험 조건을 정할 때 필요한 제반 정보의 목록 — 무엇이 정해져야 시험이 시작되나,시험법 초안의 필수 칸,체크리스트,GTR 개발디지털트윈,2차 — 1단계 중 (2~3주),,,요청 전,
E. 기존 물성 DB·사내 시스템과의 정렬,E1,필수,CS 환경센터 재료 물성 DB 의 항목·식별자·접근 방식,"StackLayer.material_id 가 무엇을 가리킬지 — 우리 재료인가, 그쪽 키인가",항목 목록 + 접근 방법,CS 환경센터·CAE·AX,2차 — 1단계 중 (2~3주),,,요청 전,
E. 기존 물성 DB·사내 시스템과의 정렬,E2,권장,"PLM/BOM 접근 API 유무, 트랜스 시스템 파일 접근","구성체 자동 생성, 이관",AX POC 결과 대기,CS 환경센터·CAE·AX,2차 — 1단계 중 (2~3주),,,요청 전,
E. 기존 물성 DB·사내 시스템과의 정렬,E3,권장,"SSO 방식 (OIDC/SAML), 계정 속성",인증 어댑터,BDC 협의,CS 환경센터·CAE·AX,2차 — 1단계 중 (2~3주),,,요청 전,
E. 기존 물성 DB·사내 시스템과의 정렬,E4,권장,디지털트윈사무국의 기존 물성 협업 범위,재료 물성 참조 경로와 겹치는지,인터뷰,CS 환경센터·CAE·AX,2차 — 1단계 중 (2~3주),,,요청 전,
F. 운영 제약,F1,필수,"서버 조건 — 인터넷 차단, GPU, 개인정보 범위, 요구 양식","설치 방식, 계산 작업 위치",BDC 회의,BDC·AX,2차 — 1단계 중 (2~3주),,,요청 전,
F. 운영 제약,F2,권장,예상 사용자 수·역할·사업부,워크스페이스·등급 초기 구성,어림수,BDC·AX,2차 — 1단계 중 (2~3주),,,요청 전,
