주차,기간,액션아이템,세부 내용,산출물(화면·모듈),릴리스 범위,상태
4주차,2026-09-04 ~ 09-14,논문·문헌 카탈로그 — MaterialTwin 이식,"문헌 물성 카탈로그·측정법(장비 사양)·혼합 덱 이식, 카탈로그 자동 시딩, 한 이름에 여러 변수·조건 분리, SI 조합 단위 44종, 물성 세 층(문헌·선언·측정) 한 표·매핑이 채우기를 정함, 문헌 값 화면 직접 입력, 카탈로그 비교·Ashby·커버리지","카탈로그 › 문헌 물성·측정법·덱·비교·Ashby",v1.200.0·v1.207·v1.220~v1.224,완료
4주차,2026-09-04 ~ 09-14,AI 연결 — MCP 서버·온톨로지·전체 검색,"MCP 서버(도구 19→41, 처리 실행·정의 생성·시편·통계), 온톨로지(이름·값·관계 레지스트리, 지도·들머리), 전체 검색(일치·포함·비슷·의미 검색 Ollama), 실사용 점검으로 죽은 도구·흔적 수정, AI 도구 등록을 화면이 제공","mcp_server/, 검색, 온톨로지 지도",v1.201.0·v1.204~v1.214,완료
4주차,2026-09-04 ~ 09-14,부서·장비·조직 운영,"ReportArchive 부서 트리 가져오기, 부서 합치기, 보유 장비(개체·부속·교정)와 조직 현황, 사업부별 현황 고정 순서","관리 › 부서 정보, 데이터 체계 › 보유 장비",v1.198.0~v1.199.1·v1.203,완료
4주차,2026-09-04 ~ 09-14,계산 확장 — 계산식은 데이터,"화면에서 적는 계산식(곡선에 맞추는 식·값에서 값·곡선에서 열, 미리보기·판), Johnson-Cook 준정적·*MAT_098, 온도 의존 탄소성, 레오미터·Cross/Carreau 유변 식, 피로 S-N, 묶음→카드 공용 길, 카드 단추를 물성 이름으로(탄소성·초탄성·유변)","관리 › 계산식, extensions/(tensile_extras·rheology·fatigue), 카드",v1.202.0·v1.227~v1.233,완료
4주차,2026-09-04 ~ 09-14,일괄 처리·단위·데이터 손질,"일괄 데이터 처리(보고 나서 정하고 되돌리기), 열마다 거르기·검색, 단위 표기 차이 읽기·값 옆 단위·덱 기본 mm·N·tonne, 소성 곡선은 항복강도부터, 시험 등록 뒤 편집·원본 교체, 이을 만한 것 제안, 씨앗을 배포마다 DB 에 맞춤, health 가 DB 까지","시험 목록 › 일괄 처리, 단위, 시험 상세",v1.210.0·v1.215~v1.226,완료
4주차,2026-09-04 ~ 09-14,VOC 게시판·알림과 화면 용어 정리,"VOC 게시판과 절차(등록→접수→처리 중→해결→종료, 이력·관리자 편집), 알림 끄기·새 VOC 알림, 새 기능 안내가 배포와 함께, 동작 용어를 명사형으로, 표 테두리·시인성·딥링크","공지·VOC, 알림 설정, 화면 전반",v1.212.0·v1.218~v1.229,완료
4주차,2026-09-04 ~ 09-14,측정 의뢰 프로세스 (1단계),"「이 시료의 이 물성을 재 달라」 가 기록으로 — 의뢰·항목·이력, 접수 대기→접수→시험 중→결과 전달→완료, 시험을 항목에 붙이면 진행률 자동, 새 재료·시험 종류 미정 의뢰, 낸 부서·받는 부서 권한, 알림","카탈로그 › 측정 의뢰(목록·새 의뢰·상세)",v1.234.0 (미푸시),완료
4주차,2026-09-04 ~ 09-14,BOM 덱과 문헌 모델 파라미터,"BOM 붙여넣기 → LS-DYNA 덱(값마다 출처 각주), 사내 카드 우선 + 문헌 보충 혼합 덱 한 파일, 문헌 모델 파라미터는 재료에 두고 카드가 인용(ADR 0029), 카드 상속 필드","카탈로그 › 덱, 카드 › BOM 덱",v1.200~v1.201,완료
4주차,2026-09-04 ~ 09-14,복합 물성 영역 — 설계와 요구사항 정리 (구현 전),"복합 물성 realm 사이드바 뼈대(부품·구성체·시험법·부품 시험·시료 배분·역공학·추정 물성·비교·판별·승격 기준 — 미구현 표시), ADR 0026 스키마 초안, TF 킥오프·회의 정리, MX 확인 요청 목록(A~F 절)","사이드바 복합 물성 realm, docs/회의, ADR 0026",v1.201 (09-06)·09-07 문서,설계 완료·구현 대기
4주차,2026-09-04 ~ 09-14,개인 액세스 토큰과 AI 도구 접속 설정,"내 정보에서 개인 액세스 토큰 발급·폐기, MCP 서버 접속 설정을 화면이 제공(Claude·Codex 설정 복사), 서버 화면(버전·health·큐)","내 정보 › 액세스 토큰·MCP 설정, 관리 › 서버",v1.205·v1.221,완료
